Disease Name,ORPHAcode,Gene,Pathway,Pathway Coverage,Mechanism,Symptoms,Drug Name,SMILES,Target Protein,Mechanism of Action,Binding Affinity,Toxicity Score,Compatibility Score,Match Explanation,Improvement Suggestions
Retinitis Pigmentosa,791,RHO,Phototransduction,High,Rod cell degeneration,Vision loss,Nusinersen,N/A,SMN2,Splicing modifier,-7.82,0.32,83,Moderate pathway match,Reduce toxicity and improve affinity
Phenylketonuria,716,PAH,Amino acid metabolism,Low,PAH deficiency,Seizures,Sapropterin,C1=CC(=CC=C1C2=NC(=NC(=O)N2)N)N,PAH,Cofactor,-8.39,0.34,80,Moderate pathway match,Reduce toxicity and improve affinity
Duchenne Muscular Dystrophy,98896,DMD,Muscle integrity,Medium,Dystrophin mutation,Muscle weakness,Nusinersen,N/A,SMN2,Splicing modifier,-6.95,0.27,86,Moderate pathway match,Minimal modification needed
Cystic Fibrosis,586,CFTR,Ion transport,High,CFTR mutation,Lung infections,Eliglustat,CC(C)NC(=O)C1=CC=C(C=C1)CN2CCOCC2,GCS,Enzyme inhibitor,-9.29,0.27,74,Limited binding efficiency,Reduce toxicity and improve affinity
Duchenne Muscular Dystrophy,98896,DMD,Muscle integrity,High,Dystrophin mutation,Muscle weakness,Ataluren,COc1cc(ccc1C(=O)N)c2nccc(n2)C,Ribosome,Readthrough,-7.1,0.13,68,Limited binding efficiency,Reduce toxicity and improve affinity
Phenylketonuria,716,PAH,Amino acid metabolism,Low,PAH deficiency,Seizures,Ivacaftor,CC(C)(C)c1ccc(cc1)NC(=O)c2cnc(nc2)N,CFTR,Potentiator,-6.64,0.41,75,Moderate pathway match,Reduce toxicity and improve affinity
Duchenne Muscular Dystrophy,98896,DMD,Muscle integrity,Medium,Dystrophin mutation,Muscle weakness,Sapropterin,C1=CC(=CC=C1C2=NC(=NC(=O)N2)N)N,PAH,Cofactor,-7.73,0.2,91,Excellent binding and low toxicity,Minimal modification needed
Retinitis Pigmentosa,791,RHO,Phototransduction,Low,Rod cell degeneration,Vision loss,Ivacaftor,CC(C)(C)c1ccc(cc1)NC(=O)c2cnc(nc2)N,CFTR,Potentiator,-6.77,0.25,89,Moderate pathway match,Minimal modification needed
Gaucher Disease,355,GBA,Lysosomal function,Low,Enzyme deficiency,Bone pain,Sapropterin,C1=CC(=CC=C1C2=NC(=NC(=O)N2)N)N,PAH,Cofactor,-7.67,0.49,66,Limited binding efficiency,Reduce toxicity and improve affinity
Duchenne Muscular Dystrophy,98896,DMD,Muscle integrity,High,Dystrophin mutation,Muscle weakness,Sapropterin,C1=CC(=CC=C1C2=NC(=NC(=O)N2)N)N,PAH,Cofactor,-9.61,0.4,79,Moderate pathway match,Reduce toxicity and improve affinity
